perprocessed,job_category
mikael intern develop profession social entrepreneur experienc manag program inafrica asia latin america lead sever startup special includ agricultur livelihood rural agriculturalfin renew energi technolog develop survey data collect strategi program mana see,agricultural
i writer blogger podcast farmer i write princip field agricultur environmentalconserv i look publish work subject environ food farm commun engagementconserv british countrysid amongst other topic i also particularli interest rewild see,agricultural
charter account compani secretari 20 year multi industri experi exposur merger amalgam privat equiti deal see,agricultural
highli skill custom focus flexibl approach solv problem short notic support hardwar forserv lan pc server well develop deliveri hous project intern trainingcours provid execut support abl organ motiv other now look forward next sta see,agricultural
hanuman singh jatav current work assist professor soil scienc agricultur chemistri sknagricultur universityjobn jaipur rajasthan india he also work atom absorptionspectroscopi aa gta vga micronutri element pollut lab last 5 year departm see,agricultural
as student southern univers am colleg i accumul sever skill crisiscommun skill intercultur commun skill multipl comput skill i ’ also multipleleadership group i organ team meet event campu thing benefit see,agricultural
i focus hardwork young agricultur entrepreneur determin help peopl grow i explor theenorm opportun agricultur agrobas industri sector see,agricultural
profession objectivefacilit emerg modern agricultur sector food nutrit secur increas employ andimprov livelihood develop dissemin packag improv varieti best cultur see,agricultural
specialti busi develop market bid manag see,agricultural
well experi product manag hygien safeti peopl manag plan inventorymainten deliv strateg direct improv mainten effici skill dairi food beveragegmp haccp iso 22000 confectioneri qualiti manag familiar give train new technolog q see,agricultural
i done carrier btech mtech food technolog i 05 year experi productiondepart good knowledg food qualiti controlcurr work product execut jain spice agro product india pvt ltd aurangabad see,agricultural
craft goat agro farm kasarsai mulashi pune 410506 9689894444 9923001873 9922112173 see,agricultural
we introduc organ ‘ chamber marathwada industri agricultur cmia ’ apex old bodyindustri marathwada region work catalyst “ overal growth region ” sinc last 45 year see,agricultural
i am in call center industri for the last 29 yearsw are look for affili center for our outbound campaign interest center can contactm at see,bpo
i am in call center industri for the last 29 yearsw are look for affili center for our outbound campaign interest center can contactm at see,bpo
experienc owner demonstr histori work consum servic industri skill operationsmanag custom acquisit call center develop custom relationship manag crm andcustom retent strong busi develop profession graduat focus commerc see,bpo
mission see,bpo
look dme lead and data provid see,bpo
global leader 25 year experi leadership track record it outsourc busi operationsprocur sourc sale pl respons see,bpo
i commerc graduat master degre comput manag gener diploma co operativeaccount 1992 2001 i one year privat job chart account firm ahmednagar from 1996 istart compani name mukund comput softwar convert manasi see,bpo
as presid founder i 25 year handson experi call center industri providingoutsourc solut i enjoy help compani find high qualiti topperform bpo provid cloudbasedcal center solut my guid principl honesti integr treat other i want treat see,bpo
i work freelanc bpo consult firmobject work compani year year turn compani top level see,bpo
two month experi bpo six month deliveri execut see,bpo
expert call center outsourc consult provid med size fortun 500 busi solut help themfind best outsourc call center provid see,bpo
experienc director demonstr histori work inform technolog servic industri skilledin call center develop call center startup genet counsel volunt train small group counselingstrong profession master busi administr mba focus human resourc managem see,bpo
bponakshatra financi and bpo advisor set year 2007 privileg introduc see,bpo
key execut insight • busi transform achiev revenu perform 120 target mastermind businesst see,sales
experienc sale market busi develop demonstr histori achiev andaccomplish skill custom relationship manag crm account manag formul andexecut market strategi see,sales
experienc senior market execut skill market manag sale custom relationship managementcrm event manag corpor commun strong market profession advanc programmein market manag focus brand manag iim calcutta studi manag sym see,sales
passion individu love i datadriven sale manag design implement strateg sale plan expand compani ’ custom base ensur see,sales
experienc gener manag demonstr histori work machineri industri skill salescustom relationship manag crm manag account manag product develop strongoper profession bachelor engin be focus electron textil industri see,sales
i engag enterpris help transform success digit era thi involv adopt emergingtechnolog use holist digit platform approach build success busi i help client combin bestcapa see,sales
countrylevel leadership – pharma and healthcarefortifi sale market strateg busi develop creat profit center see,sales
transform tradit sale oper agil effect multichannel manag sale strategist work cooper nation mncorganis see,sales
automot profession passion truck strong believ team work see,sales
experienc director of sale market demonstr histori work it product industri skilledin goto market strategi sale market research presal analyt strong strategi market salesprofession graduat indian institut manag ahmedabad see,sales
strateg mind individu keen sens competit intellig market analysi highli experienc indriv sale initi boost sale order meet object proven abil work independ teamset equal eas a proven close abil develop new busi pipelin deliv th see,sales
24 year experi sale market commerci train differ sector organ see,sales
• to obtain posit respons util skill experi keen work environ wherei enrich knowledg see,sales
transform tradit sale oper agil effect multichannel manag sale strategist work cooper nation mncorganis see,sales
he experienc b2b sale profession current work aarti industri limit busi managerfor pharmaceut busi unit prior work srf limit specialti chemic busi asassist manag busi develop role pharmaceut agrochem vertic he also see,sales
a keen learner passion profession socioeconom topic avid reader consist providingthought leadership strategi manag area see,sales
experienc gener manag market demonstr histori work mechan industrialengin industri skill negoti manufactur oper manag engin projectplan strong market profession graduat khkabbur institut engin st joseph s see,sales
dynam market sale manag 7 year experi deliv result drive sale throughinnov idea tenaci build new busi secur custom ’ loyalti forg strong relationship withextern busi partner instrument write document includ propos contract market plan see,sales
a dynam market profession effect commun strong analyt bent mind highli competitivepassion persuas articul experi work crosscultur multin environ see,sales
i sale market profession track record increas sale across multipl channel i motivatedbi desir deliv posit outcom facet role revenu gener brand awar andpeopl develop i best known appli data driven approach sale process ensur see,sales
dynam goalori profession 10 year experi sale market market researchreport market analysi achiev strong gain enhanc innov idea compani ’ growth anddevelop brand strategi increas busi profit organis see,sales
27 year experi direct sale market custom servic franchis manag consult trainingbuild compani scratch reviv sick compani profit offic autom telephoneinform servic placement servic it commun real estat see,sales
lovabl compani see,sales
setup onlin pl across sever compani telecom publish travel media domain led digitaltransform intern grow one cost effect busi model see,sales
a dynam profession mba market 9 yr ’ rich experi strategi plane busi developmentoper manag market product promot a keen planner proven abil devis strategi toaugment busi streamlin distribut network promot product busi excel verifi yea see,sales
see,sales
honest motiv employe proven track record build grow sale territori competitiveenviron dedic build rapport maintain loyal custom relationship understand needsand creat individu solut offer deep technic acumen good commun skill help custo see,sales
i passion handl new challeng give enorm satisfact succeed themrespons handl oper umano subsidiari unit biotech ltd oral formul see,sales
commun differ form unit organ toward common goal creat good percept themarket launch breakthrough productsservic celebr benchmark success simpli say hello youcant away i simpli tri make engag see,sales
i head sale strategi sale oper salesloftdur career i held varieti gener manag role semiconductor industri see,sales
hvac see,sales
experienc deputi manag market sale demonstr histori work automot industryskil busi develop sale manag data analysi strateg plan manag teammanag strong market sale profession master degre focus mba manag see,sales
i manag director senior partner base boston consult group ’ atlanta offic i lead firm ’ smarket sale price practic work lead compani choos embrac revolutionaryopportun redefin futur market sale price function see,sales
client success directorcofound at empathi north market and sale solutionsw authent canadian base market sale asaservic agenc msass expand brand loy see,sales
growthfocus awardwin accomplish profession extens experi direct aspect salesand market focu maximis busi revenu profitrep success execut deliv complex project global developingimpl strateg see,sales
shklok servic consult ssc establish 2017 it consult outsourc train compani inmadhya pradesh india ssc organ mainli deal provid servic consult diversifi industrylik manufactur bank it egovern see,consultant
beccl one lead iso 90012015 certifi compani uae our solut orient dynam dedicatedcompet experienc team strictli adher qualiti everi stage work associ give “ peaceof mind ” custom see,consultant
experienc proprietor demonstr histori work inform technolog servic industryskil network administr microsoft excel custom servic microsoft word busi developmentstrong entrepreneurship profession bachelor degre focus comput scienc asp colleg see,consultant
human resourc practition 8 year work experi effici planner problem solver canwork independ well excel team player juggl multipl prioriti meet tight deadlin without compromis qualiti abil work see,consultant
have 10 year hand experi end end recruitmentskillsrecruitmentcompens benefitscorpor trainingcar counselingpdp class etc see,consultant
manav placement consult mpc lead job placement consult firm cater need variousindustri organ sinc 1992 requisit talent manpow occupi senior middl levelposit perform variou function respons see,consultant
25 year experi it industri work softwar consult busi develop sale presal projectmanag train 15 year softwar product sale presal partner directsel excel account manag project manag relationship build solut sell skill see,consultant
recruit consult see,consultant
25 year experi it industri work softwar consult busi develop sale presal projectmanag train 15 year softwar product sale presal partner directsel excel account manag project manag relationship build solut sell skill see,consultant
hvac sale project mainten see,consultant
1 consult trainer iso 9001 iatf 16949 ehosvda 632 previous head qualiti assur function automot industri see,consultant
sathyanand bring 10 year experi educ develop recent certif lead atcentr teacher accredit centa karadi path educ compani he also teach india fellowbefor work dhan foundat ngo work microfin agricultur he h see,consultant
prepar dbr sldspecif electr calcul power light earth short circuit voltagedrops transform gener lt panel see,consultant
educationist specialis enhanc perform school creat custom school improv plan profession develop program design curriculum creat sustain school ecosystem see,consultant
waterproof consult develop propitori system expans joint podium slab basementwaterproof also develop drain system terrac garden basement also give lectur onwaterproof practic civil engin see,consultant
edutrain train consult servic consortium trainer consult hail divers businessvert includ academia industri see,consultant
wear hat sale person trainer consult last 14 year mercuri goldmann india pvt ltd helporganis gain competit advantag improv sale perform unparallel solut acrossknowledg process skill behaviour see,consultant
experienc civil engin demonstr histori work civil engin industri skill autocadhighway qualiti manag qualiti assur structur engin strong engin profession amtech focus structur engin dcrust murthal see,consultant
polit consult five year work top notch politician across india see,consultant
have eight year industri experi skill multitask understand financi concept assetmanag compani seek employ fastpac custom environ asset manag specialist withthre year experi strong abil develop relationship extern databas consult possess see,consultant
a design think consult practition season industri profession 20 year corpor experienceihav work global across differ cultur domain technolog tc infosi cybag variousstrateg leadership rolesi bring rich understand divers busi industri cultur togeth see,consultant
24 year comprehens experi food product a la cart bulk food product hotel institut cater standalon restaur oper proven abil effect lead multioutlet dine highvolum oper see,consultant
it profession 20 year area bank capit market payment healthcar domainsgood blend technic domain knowledg strateg thinker see,consultant
i proven b2b b2c approach gener lead opportun grow busi do use social media grow busi see,consultant
guid compani achiev excel see,consultant
experienc matur hr ld execut demonstr result impact key area talentdevelop execut coach capabl build have thorough understand human dynam achang environ abil facilit train coach execut across organis level see,consultant
manag system consult facilit core compet haccp iso 22000fsscbrcgmp expertisein food process hotel industri see,consultant
rl financi servic consult provid end end financi report servic public filer mutual fundregistr we make xbrl file simple inexpens accur see,consultant
expert design design manag build engin servic current teach plumb design apremi institut pune see,consultant
i odoo python develop consult i around 3 year profession experiencework odoo v12 v11 v10 v9 v8 see,consultant
i look job chang hvacrevitmep design estim fieldi mechan engin current work amnear engin consult design estim e see,consultant
excel award pfizer project tata consult servicesperform of year award sql star ltdteam lead quarter 3iinfotech see,consultant
dear friendsmi name arun chaudhari i cofound vidhyant infosystem also freelanc it trainer w see,consultant
anika technolog high end train consult compani focus qualiti effect researchconduct suggest effect train increas product employe 230 see,consultant
ss recruit consult young startup foray recruit consult businesss we base inhyderabad render servic across india our manag vast experi divers verticl our vision isto provid qualiti servic client therebi attain win win situat custom delight see,consultant
gsb research consult pvt ltd one stop solut busi format promot market brandingdevelop reput manag main motto gsb deal differ aspect startup othergrow organis provid support use print electron digit telecom outdoor activ ev see,consultant
follow us instagram swab digit media,digital media
thi digit market agenc special b2b b2c market use googl adword bing ad oathadvertis amazon ad quora ad youtub market linkedin market facebook market email market,digital media
founder ceo absolut digit media multi awardwin digit market base essex london,digital media
build99 pioneer provid one stop solut build construct materi indian market throughecommerceour main focu render servic procur materi construct industri,building & construction
shahni digit media number one digit market compani bhopal india help build brand andpres target custom we 5 year ’ experi field fast growingdigit market firm india,digital media
build construct profession 15 year ’ experi india us industri strongcommun skill abil extract best divers project team – client consult contractor,building & construction
adam reynold posit vice presid see manag theatric movi divis digit mediamanag team develop execut digit viral social media campaign wide rang,digital media
hello,building & construction
i well organis project manger goalori 21 year experi inmanagementconstruct file strong qualiti focu analyt problemsolv abl anticip issu,building & construction
experienc vice presid demonstr histori work market digit advertis industryskil digit media plan strategi sem search engin optim seo mobil content sale mobileappl strong digit media profession master degre focus market mumbai univers,digital media
i well organis project manger goalori 21 year experi inmanagementconstruct file strong qualiti focu analyt problemsolv abl anticip issu,building & construction
kadigit media like inhous market team ½ even price,digital media
mep electr design supervisor,building & construction
bavyesh digit media digit agenc base hyderabad india vision connect player across digitalworld – advertis publishersth team collect experi 20 year onlin media space,digital media
as founder stark digit media servic i creat passion team achiev hundr awesomewebsit 500 global clientel 100 repeat busi ratio trust domain work,digital media
perfect qualiti project big small dependabilityreli trust qualiti describeg ghine construct see commun focu onlin howard counti detail,building & construction
innov hungri product evangelist believ true potenti digit media open infiniteopportun everi entiti digit ecosystem,digital media
i total 7 year experi civil construct field henc 4 year experi india part time auto caddraftsman civil 3 year experi qatar civil site supervisor,building & construction
i mba graduat specialis market rizvi institut manag studi research i presentlywork digit market agenc manag paid campaign googl ad have also done media plan,digital media
same constructioncivil engin govern contractor,building & construction
digit market profession 8 year experi execut scale digit campaign b2b b2c brand core strength lie datadriven approach skill web analyt digit strategi seo paid media,digital media
we alway welcom regardless bulk project our foremost concern satisfact custom thescop project faraway so get readi build idiosyncrat dream team inbuild,building & construction
market heart,digital media
home for life,building & construction
we digit agenc ’ trust partner collabor we build resultsori digit strategiesand continu refin campaign optim outcom from fullscal digit market advertis strategyand plan right tactic execut report,digital media
build construct,building & construction
• enterpris leader planner strong record contribut streamlin oper invigor businessesand heighten product,digital media
as head media publish i respons meet client need daili basi busi developmentapart media plan develop object strategi plan present my role involv work,digital media
experienc senior consult demonstr histori work govern administr industryskil polit scienc public speak social media intern relat public administr strongconsult profession master busi administr mba focus market nmim,digital media
build construct,building & construction
experienc cofound demonstr histori work onlin media industri skill businessprocess servic deliveri requir analysi custom relationship manag crm manag strongentrepreneurship profession,digital media
digit media hawk a digit market servic we group digit market expert find solutionsfor busi good market strategi get profit busi,digital media
shri ram construct civil construct compani special build residenti commerci properti aseduc institut industri build commerci complex residenti apart,building & construction
the what sinc 2011 ive help coach consult industri expert start grow onlin busi withonlin market autom advertis,digital media
hii abhijeet kumar digit market consult i dont say expert digit market goodknowledg seo smo work top industri digit field,digital media
extens experi engin manag leadership develop test problemsolv expert atanalyz solv complex problem selfmotiv profession capabl work independ ora part team,building & construction
our young passion team digit market enthusiast compris specialist insight analyticsstrategi plan search market social media content develop web design alway motiv deliv,digital media
richard charl architectur provid multidisciplinari rang architectur servic residenti commercialleisur industri client shape project experi suit individu requir,building & construction
carmen trade career aerospac defens softwar engin work project like space shuttleprogram opportun establish home décor busi subsequ travel globe write art,digital media
experienc digit market execut demonstr histori work leisur travel trade tourismsector high educ skill social media manag content creation seo digit market cm,digital media
ex certif membership indian chapter leadership excel harvard squar,digital media
a digit storytel brand profession work excit project sport i passion forconnect natur digit world follow dini ig stori hockey ski sail hike,digital media
digitalrig provid complet servic client equip lead edgeinternet market tool we work build complet internet market strategi busi,digital media
everyday new day love,digital media
experienc commun specialist demonstr histori work govern administrationindustri skill govern videographi digit market social media commun relat public policystrong commun design profession graduat state univers new york,digital media
ben zettler ecommerc digit market social media consult certifi shopifi expert andfacebook market partner work 150 brand athlet public figur optim,digital media
make draw design deliveri export,building & construction
gvp digit media group boutiqu digit product compani special digit content needsfor 20 plu year team creat liter hundr hour nation tvfilm program direct,digital media
1 b e civil pgdm market 200 year rich experi sale marketingproject managementbusi develop client servic build materi mostli preengin build,building & construction
highli motiv result orient civil engin gold medalist experi work construct sitesstructur consult project manag compani complet master build engin,building & construction
have total experi around 30 ms nation build construct corpor limit a govern ofindia enterpris premier construct compani india schedul a mini ratna,building & construction
to provid client true turn key build support mainten plant propertiesaft build,building & construction
degre diploma holder civil engin with 95 year experi build construct work,building & construction
hi name allen owner founder austbuild construct renov pti ltd,building & construction
project engin execut civil construct project residenti apart villa industri unitedarab emir commerci build,building & construction
specialti c8 state california concret contractor ’ licens,building & construction
im content creator websit design video editor entrepreneur move lo angel acquir ba intelevis film media studiesstart compani 360 photographi tour small busi big facil,digital media
by take cours arab center media digit market come away action digitalmarket strategi busi skill knowledg immedi implement digit campaign,digital media
a passion entrepreneur product develop technolog manag 15 year ’ experi planningevalu commerci new technolog design strateg roadmap manag appli research,digital media
akv digit media best digit market agenc cochin kerala indiaour expertis team idea creat totransform realityw help build busi digit flat formdigit market solut allyour busi,digital media
experienc digit market specialist demonstr histori work fashion entertainmentindustri skill digit strategi social media media plan buy onlin partner acquisit manag,digital media
a selfstart quick learnerversatil skill set written oral commun experi market sale custom servic receiv best employe award excel custom servic lead team projectsrecogn skill mentor employe mediat custom,digital media
pleas feel free contact programmat perform marketingskyp livebhupeshrao,digital media
experienc chief gener manag demonstr histori work govern administr industryskil financi risk risk manag bank corpor financ bank merger strong financ profession,banking
a result orient engin profession 9 year experi set strategi busi processeskpi system merger acquisit,engineering
1author 40 book bank financ econom law managementsom book recognizedand award ministri financ ministri agricultur maharashtra rajya hindi sahitya academi govern,banking
availablesurfac prepar,engineering
experienc financ demonstr histori work bank industri skill credit risk riskmanag bank cross sell loan strong financ profession bachelor scienc bsc focus inmba financ amar singh colleg srinagar,banking
pipe world institut explor world top job opportun bring make search betterprospect much easy thought a lot well paid profession reach right destin pw,engineering
senior corpor treasuri profession 105 year track record corpor treasuri function forex dealingsstatutori complianc risk manag trade financ bank across divers organ,banking
experienc senior design engin demonstr histori work biotechnolog industri skill inautocad power plant mechan electr plumb mep power distribut project manag,engineering
i mechan engin graduat pg mba work mahindra mahindra ltd 15 year variousfield like supplier qualiti supplier upgrad procur logist now icrisat head transport servicesand automobil,automobile
lt,engineering
sinc oct ’ 09 canara bank indian govern undertak market officerkey deliver,banking
hindustan aerospac engin known one best aircraft mainten engin colleg india forit dedic experienc faculti conduc educ environ state art infrastructur best dgca,engineering
student transport automobil design,automobile
i join state bank india probationari offic 1972 rose level deputi manag director lastassign manag director state bank patiala associ sbi posit i retir,banking
adhiraj electr and engin electr engin contractor electr trader we gainedexpertis electr engin work procur servic now lead electr engin contractor,engineering
sap bank bank analyz deposit loan manag credit portfolio manag collater managementcalcul manag calcul procedur risk manag default probabl exposur cvar oper,banking
experienc trade financ specialist demonstr histori work intern trade developmentindustri skill bank foreign exchang fx option commerci bank credit risk manag strong,banking
experienc busi partner demonstr histori work mechan industri engineeringindustri skill matlab cnc oper sql microsoft word engin strong consult profession aengin ’ degre focus mechan engin lingaya univers,engineering
look overal financi requir group,banking
a profession nearli 23 year rich experi manag oper focu top line profitabilitywhil ensur optim util resourc bank insur sector,banking
experienc busi partner demonstr histori work mechan industri engineeringindustri skill matlab cnc oper sql microsoft word engin strong consult profession aengin ’ degre focus mechan engin lingaya univers,engineering
i taken lot photo nearli 6 year nowth feel satisfact get achiev exactli plan shoot that exactli feel istriv work toward day in day out,automobile
vision aimsse oneself pois exponenti growth field financi manag financi model equiti research,banking
highli accomplish mechan engin overal work experi total twelv 12 year metal miner industri rich experi design water system util includ design recirul water,engineering
my phd theoret analysi complex analysi map algorithm aspect formal verif aftermi phd i work telecommun network manag softwar lab i develop distribut algorithm,engineering
with citi tt last 10 year across mumbai london dulin variou role tt busi manag presentfin lead financ offic london uk team manag avp financ coe mumbai over 14year workexperi bank tt,banking
curriculum vita,engineering
hi my name sriram i third gener entrepreneur financi consult come famili financialadvisor charter account i expos life consult earli age i start,banking
siddhartha sharma vice presid technolog automobil otuslivecom he also consult editor fortechnolog automobil jagrancom dainik jagran he former editor technolog automobil,automobile
ship design pipe engin,engineering
senior leader 20 year rich experi presal consult solut program deliveri ontransform program global bank,banking
curretli work icici bank i total experi one year cost traine mahindra mahindra fessector kandivali plant account financ depart,banking
with 20 year experi financi payment industri maria divis execut bankingoper busi manag previous group execut payment senior manag,banking
experienc collect manag demonstr histori work financi servic industri skill inportfolio manag vendor manag bank strong profession graduat eastern institut forintegr learn in manag,banking
retail asset risk manag,banking
a motiv resourc manag 27 year bank experi set kyc boardingand payment depart an experienc profession strong track record lead motiv anddevelop team drive perform implement effect effici process procedur,banking
i live breath treasuri,banking
a licens financi servic profession 15 year experi financi servic industri providingsuperior servic intern extern client i highli motiv team player proven skill extern,banking
a prone learner learn new thingsi start first job genpact cash applic process learn maintain custom,banking
season execut director regulatori profession 20 year experi provid leadership andregulatori oversight financi institut extens experi aspect executivelevel bank leadership,banking
mha carpent box lead region firm charter account charter tax advis busi adviserswith offic gatwick worth brighton establish 90 year ago headcount 170 act,banking
mba candid five year profession experi invest bank debt syndic greenfield financecfa iii candid excel analyt skill proven abil manag bigticket transact expertis includ,banking
i highenergi businesssal manag solid track record perform softwar financi servicessal key strength includ abil meet exceed goalstarget strateg vision leadership gift,banking
promot basic research scienc engin provid financi assist person engag suchresearch academ institut research develop laboratori industri concern agenc,engineering
promot basic research scienc engin provid financi assist person engag suchresearch academ institut research develop laboratori industri concern agenc,engineering
intend build career lead corpor hitech environ commit dedic peopl willhelp explor fulli releas potenti i will key role player challeng creativeambi,engineering
be graduat 7 year profession work experi pdmspipe 1 year experi stress analysi usingrohr2 softwar,engineering
8 yer experi matrial handl project coal cement industrycheck draw belt conveyor revers belt conveyor bucket elev weight feeder equip like,engineering
a project engin proven track record monitor execut civil engin work includ marinework mainten work,engineering
head civil engin depart dkte societi textil engin institut ichalkaranji,engineering
experienc head of oper demonstr histori work industri autom industri skill inautocad negoti oper manag power plant project estim strong oper professionalwith master technolog mtech focus mechan maharshi dayanand univers,engineering
we help youngster especi fresh institut prepar interview counsel andmock interview process if knowledg captur less impart make knowledg,engineering
our product rang compris water chemic pump accessori centrifug pump gear pump submersiblepump barreldrum pump aodd mani product also special pp pvdf pump,engineering
1 all type filter hous manufactur,engineering
im work suzlon 2007 dec 15a srengin now i work powerica ltd site managergujarat area incharg oper mainten i experi windmil o malongwith experi,engineering
from acquisit project manag develop qualiti control 11 year work experi i havehad chanc work vari area academ editori thi kind exposur i need take,engineering
i versatil data scienc execut passion drive valu peopl busi dataanalyt model algorithm i seek data scienc applic posit impact i also enjoy,engineering
techcon consult engin grow technic consult firm base mumbai serv cement andminer process industri worldwid,engineering
world journal nano scienc engin wjnse peerreview openaccess journal establish march2011 scientif research publish inc scirp it contain origin innov research pertain,engineering
experienc professor former head depart comput scienc engin nation instituteof technolog karnataka surathk india demonstr histori work high educ institut,engineering
process engin lauru lab,engineering
experienc head of product develop demonstr histori work type shoe leatherfabr fashion industri skill trend analysi retail footwear wholesal sourc strong product,engineering
environment engin 55 year experi adept design wast water suppli solid wastemanag system i experienc cocoordin facilit project record evalu site data,engineering
work independ design engin project manag consult also provid architecturaldesign solut multidisciplinari project such industri commerci interior textil etc requir,engineering
an engin consult autom industri,engineering
experienc design engin demonstr histori work design industri skill autocad saperp pdm design pdm draft oil ga strong engin profession bachelor engin befocus mechan engin mkumarasami colleg of engin karur,engineering
sar group industri iso 90012008 compani establish 2000 one india lead agro automobileindustri sar group industri aim directli reach end user product,automobile
i do work of liason mani companiesand develop job for forg other companiesmi duti toexecut suppli smoothli tata motor industri,automobile
to work firm profession work driven environ i util appli knowledg skill whichwould enabl fresh graduat grow fulfil organiz goal,automobile
i graduat art polytechn deploma mechautomobil comput diploma ms offic,automobile
i work gg engin servic pvtltd design engineerinterest automobil design product design new innov power challeng environ,automobile
current busi correspond the econom time auto etauto india large automobil portal,automobile
im mechan engin vit univers vellor work automobil journalist sinc 2015 my primari tasksinclud eventlaunch coverag gener content form news stori featur stori car review formultipl platform includ print digit televis,automobile
entrepreneur automobil design engin,automobile
real estat consult engag sell buy commercialresidenti properti also deal joint ventureproperti deal high medium valu project,automobile
biw fixtur desing,automobile
head of oper demonstr histori work hospit industri strong oper professionalskil cater food beverag hotel manag hospit industri banquet oper,food & beverages
experienc chief execut offic demonstr histori work food beverag industri skill inresearch microsoft excel manag microsoft word microsoft powerpoint strong busi developmentprofession graduat savitribai phule pune univers,food & beverages
annapurna lead fmcg brand entir north eastern india wide rang food product dairi agroand food beverag sector,food & beverages
“ global food beverag co ” pioneer among region foodbeverag brand north zone india start in2006 compani come long way past 13 year establish lead region tea brand uput,food & beverages
aviat food beverag real estat busi industri involv social new peopleal world here i,food & beverages
our compani one old lead import distributor premium alcohol product aroundth globe distribut pan india domest market well travel retail airport duti free shop,food & beverages
welcom neeru food n beveragesw delight us journey healthy life we believ bodi need good care,food & beverages
main purpos manag director,food & beverages
dynam profession nearli 14 year rich experi qualiti assur food safeti productdesignspecif process standard qualityproduct plan vendor audit inspect test,food & beverages
pure shot present varieti beverag fmcg world wait long time optimumstandard qualiti target grow exponenti time develop pan india distribut,food & beverages
we slay everyday – india ’ best coffe slay exist chang way india drink coffe,food & beverages
sustaibl devlop ai user interfac,food & beverages
firm believ team work passion connect serv custom holist approach provid valueaddit had journey across process industri food beverag chemic pharmaceut focu custom,food & beverages
experienc manag demonstr histori work hospit industri skill luxuri managementcat food beverag interperson skill employe manag custom satisfact strong operationsprofession bachelor degre hospit administrationmanag ihm pusa new delhi,food & beverages
vitaz food beverag pvt ltdmanufactur instant drink powder,food & beverages
“ a compet profession 13 year ’ experi oper guest servic qualiti compliancepeopl manag train hospit industri present associ radisson blu plaza delhi,food & beverages
over 16 year work experi hospit industri india dubai qatar bar restaur food beverag depart oper work product dynam environ offer challeng career,food & beverages
confid selfmotiv proactiv result orient profession profound background food safeti hygienequ assur process control sound knowledg experi food beverag cosmet ceram,food & beverages
experienc team leader demonstr histori work hospit industri skill food beverageev plan custom servic microsoft word sale strong oper profession hotel manag,food & beverages
hard smart worker,food & beverages
experienc fnb profession 18 year experi equal command fb servic food productionwith demonstr histori work hospit industri skill cater food beverag hotelmanag menu develop strong oper profession graduat ihm kolkota,food & beverages
experienc fnb profession 18 year experi equal command fb servic food productionwith demonstr histori work hospit industri skill cater food beverag hotelmanag menu develop strong oper profession graduat ihm kolkota,food & beverages
i shantanu chakraborti work director food beverag taj group hotel,food & beverages
i twelv year experi hotel industri major starwood hotel carlsonrezidor taj group hotel devi garh udaipur now lebua follow lebua jaipur present work,food & beverages
repres hong kong join asiaoceania sommeli competit novemb 2009 osaka japan,food & beverages
experienc food beverag specialist demonstr histori work hospit industri skill inhospit industri preopen tourism coffe shop food beverag strong busi develop,food & beverages
over fifteen year hospit work experi india reput organ name taj group ofhotel the leela palac bangalor the park itc hotel group present work food beverag manag,food & beverages
we would like introduc self manufactur export steril can food puls veget fruitsreadi eat past in west zone gujarat india,food & beverages
with demonstr histori work financi servic industri skill entrepreneurship strateg planningfinanci inclus strategi financi servic strong busi develop profession,finance
experienc assist manag demonstr histori work financi servic industri skill riskmanag bank audit strateg plan busi develop strong profession master ofbusi administr mba focus market hnbgu srinagar,finance
expier micro financ two wheeler four wheeler sale financ buiss loan,finance
multipl decad experi spread across busi manag sale distribut oper businessstrategi execut,finance
tohr depart,finance
villag lakhimpur,finance
we leader categori sale purchas new use car also provid loan automobil,finance
pleas share cv sayleecomsinc 2010 i recruit perform manag key account develop proven expertis late,finance
experienc csr 45 year experi demonstr histori work bank industri skill inbank financi servic bancassur mutual fund teamwork strong support profession diploma,finance
we bangalor base startup enterpris focus busi educ skill developmentour vision,finance
over 12 year extens experi field sale market revenu gener channel managementconduct statist analysi determin potenti growth design sale perform goal monitor,finance
a profession experi 4 year manag traine account financ manag field ofmanufactur busi strategi plan develop manufactur firm work firm given,finance
cross function exposur market financ sale auto financ tractor farm equip financ credit andrecoveri,finance
experienc sale offic field investig demonstr histori work high educ industryskil analyt skill strateg plan public speak train manag strong administr,finance
• offer 6 year experi account financ,finance
i alreadi work vehicl financ,finance
entrepreneuri career advisor bank financ creativ resourc driven selfmotiv outgoingcommit,finance
lmv car financ,finance
a compet profession 16 year experi risk manag call centr manag debtrecoveryleg settlement client servic oper current work zlm avp legal recoveri,finance
sr opreat execut softwar audit work such as coustmer record check analyisdisbursemrnt approv previou due amount check ms excel ms word work like suffici tallyerp9,finance
i krishnat maralei nativ district sangli known turmer citi maharashtrai complet graduat ba yashaw rao chavan art commerc collag islampur citydistrict,finance
hai i veeresh from tirupurdollar citi manufactur type garment,apparel
experienc merchandis design onlin store cloth women wear,apparel
dress made ethic northeast india,apparel
custom tshirtsbagscap print materi,apparel
offer one stop solut apparel brand retail appli arvind expertis across textil apparelvalu chain provid tailormad sourc strategi custom devic manufactur strategi,apparel
we manufactur export knit woven garment like t shirt polo t shirt hoodi sweat shirtspromot t shirt cap babi bodysuit sleep suit etc,apparel
