description,Accountant,Advocate,Agricultural,Apparel,Architects,Arts,Automobile,Aviation,BPO,Banking,Building & Construction,Business Development,Consultant,Designing,Digital Media,Education,Engineering,Finance,Food & Beverages,HR,Health & Fitness,Information Technology,Managment,Public Relations,Sales
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I have over 44 years of corporate experience in legal matters. I am a registered advocate of the Supreme Court of India& Delhi High Court. I provide Legal Advice & Consultation including but not limited to the following areas of expertise:- Labor laws including Labor union dispute resolution & Disciplinary Action...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"An excellent experience in handling of Techno-Legal field in construction industry as relatable to Civil Engineering afterhaving worked in execution of large scale National Highway and Other Road Projects, Power Projects, Industrial Projects,Residential Buildings, Commercial Complexes, Water treatment plants, Sewage treatment plants, conglomerat...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dhiresh Pandey was also a founder member of law firm ""Black Aces Attorneys and Solicitors"" Providing Legal SupportServices and consultancy to various National and International Companies and Law Firms, for example, RedwingSolutions, Touching Heights Business Solutions LLP., Qserv Business Solutions LLP., Career Planto, Nownaukri ...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dedicated professional to serve the society while abridging gap in knowledge of accountancy and legal aspects and letaccounting people comply law while representing to legal authorities about the impact of accountancy on judicialdecisions.The thin margin of financing professional in not adhering completely to the compliant provisions la...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I have been in practice for more than 10 years and have extensive experience in criminal, corporate and civil litigationand arbitration, both domestic as well as international. My expertise lies in advising on white collar crimes and corporatelaw matters specially in strategizing investments and corporate structuring.... see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rishav graduated from Gujarat National Law University, a premier national law school in India as a Gold Medalist. Rishavthereafter completed his LL.M. (Master of Laws) from University of Cambridge, United Kingdom, which is considered tobe the world's best university with a specialization in International Commercial Litigation, Settlement of Inter...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Retired Judge and Advocate20 years service as Judge in different capacities. Read and prepared Head Notes for more than 10,000 judgments ofdifferent High Courts and Supreme Court. Head Notes published by various Law Publishers. Now preparing H...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ashwani Solicitors & Co. is managed by dual qualified British Lawyer Ashwani Kumar. Ashwani Kumar i qualified as aSolicitor of Supreme Court of England & Wales from Oxford Institute of Legal Practice, Oxford Brookes University,Lon...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Served in various wings of police for 37 years and after retirement, in 2007, practicing in the Criminal courts atHyderabad, specialized in Anti corruption cases. Worked in CBI., ACB viz wings and dealt with corruption cases.... see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Insolvency Professional and Advocate having rich experience in Credit Management, Debt Restructuring, Recovery oflarge value stressed assets, and project finance. Have previously worked as a banker with State Bank of India undervarious capacities. Presently working as a professional advisor/consultant to various companies on insolvency...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14 years of rich and vast experience in the field of law with an interesting mix of Litigation and Non- Litigation practice.I help my clients (both NRIs and Indians) overcome their hurdles and legal challenges representing them bef...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I specialise in the areas of WTO laws, trade policy, export controls, customs classification & valuation and Indianregulatory laws. I have successfully acted as a co-counsel for governments in multiple cases at the WTO. I advisedGovernment of India, through its exports promotion council, on rules negotiations at the WTO and acted for ...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Understanding requirements and offering legal services within the framework of the law; founded in 2006 for local andglobal clientele.We conduct high-stake litigation and solicitation along while providing legal opinions and better pleadings w...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Advocate, High Court at Calcutta practicing in the areas of corporate, personal, arbitration, commercial, labour andemployment, Intellectual Property Rights, Compliance Management/Audit and Corporate Consultancy...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Advocate/Actor/Producer.Social worker,passionate about working at the grassroot level,in the field of education empowerment  and health forwomen and children....
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33 Years experience in Property, Civil, Criminal and Banking matters and legal consultant of reputed firms and companies... see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Working as an advocate and Arbitrator for the past 20 Year, Praveen Paul Chandy is now the sole Arbitrator of manymajor companies , Mainly concentrating on NBFC Corporate Legal and business issues .His client list consist of majorcompanies like Manappuram Finance,BRD Group of Companies, SML Group of companies, Sriram Transport F...
            see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I had passed CA Examination in 2012. Since then I am practicing in Income Tax, Accounting and Finance related works.... see more",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accomplished Sales Manager with a demonstrated history of working in the Business Equipment, Information andServices industry. A problem solver skilled in identifying problems and implementing innovative cost effective solutions.Experienced in Enterprise Account Sales, Strategic and Consultative Selling and all aspects of Business Development.... see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialties: HR and Marketing... see more,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"I am a proactive individual with MBA in Marketing with 7.5 years of experience in the field of Business Development,Sales and Marketing in IT, Real Estate, Health Care and Travel...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced Manager with a demonstrated history of working in the information technology, software and servicesindustry. Skilled in Sales, Business Development, Alliance Management, Team Management, Program Management,Vendor and Partner Management... see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Growth oriented leader with strong leadership and business management skills honed from a career span of over 20years operating in challenging roles of driving revenue, margin, market share across Consumer durable , buildingproducts , B2B industrial goods and Rental services industry . Highly experienced, decisive leader with a prov...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"A highly motivated and ambitious individual able to give timely and accurate advice, guidance, support and training toteam members and individuals. Possessing excellent management skills and having the ability to work with the minimumof supervision whilst leading a team of twelve or more. Having a proven ability to lead by example, consistent...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auto Component SalesScheduling and PlanningBusiness Development...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.Tech & MBA. Result and future oriented professional with 10 years experience in Product Marketing, Sales andBusiness Development with international exposure in Germany... see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I am MBA Marketing graduate... see more,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"A seasoned Marketing and Business Development Advisor with more than 25-years of experience in both National andGlobal markets. Having a proven track record of stimulating strategic growth, I have delivered measurable revenueresults building brand equity within highly competitive, growth-oriented B2B and B2C markets. A values-base...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Call me on 01933 311980 or email me at: results@sw-bd.co.ukSales Trainer / Telesales Trainer / Sales Coach & Mentor / Business Development Consultant...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced business strategist, partnerships, and analytics professional with a background in sports and entertainment,management consulting, and digital....
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"I have played a key role in growing existing businesses and capturing new business by building strategic and profitableglobal partnerships in all phases of channel development that enhance the Go-to-Market value of the individual parties.I see it as “1 + 1 = 3.”...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LASER-FOCUSED | PROGRESSIVE | BUSINESS MANAGEMENT SPECIALISTBu...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"As a Marketing and Business Development Executive with diverse experience, my mission is to enhance and protectorganizational value by increasing revenue growth with concerted efforts. I help companies accomplish their objectivesby bringing a systematic, disciplined approach to evaluate and improve marketing strategies, partnerships, ca...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seasoned Industry Expert – An ambitious, highly motivated and energetic Business Developer with excellent Sales andMarketing skills. A results orientated professional with a proven ability to get results, generate revenue, improve serviceas well as reduce costs. I have more than 15 years of marketing and business development experience and C...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pre Sales & Business Development:?	Strategize the long-term business directions of the organization to ensure maximum profitability.?	Deep knowledge in the process of tendering process in PSU & Govt....
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Career span of 15 years+ experience in strategizing, planning and driving business opportunities across premiumdepartment stores, hypermarkets, bookstores, beauty, home, and category anchors. With robust background in generalmanagement, operations, property and project delivery, I have operated successfully across range of formats ...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Swiss-French computer scientist with over a decade of experience in corporate and business development. Passionateabout solving problems at the intersection of technology and finance....
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"•	Senior executive with unique experience in both VC-backed start-ups and Fortune 500 corporations leading businessgrowth and strategic expansion and building high-value, industry-leading companies•	General management skills across strategy, products, marketing, sales, business operations, and people lea...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced Business Development Officer with a demonstrated history of working in the computer software industry.Skilled in Microsoft Office, Customer Service, Sales, Engineering,Digitl Marketing, SEO,and Business Development. Strongbusiness development professional with a Bachelor of Engineering - BE focused in Mechatronics, Robotics, an...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viccsun is one of the top UX/UI design firms, with more than 7 years of experience creating highly usable and intuitiveB2B solutions. Driven by our passion for compelling and usable designs, we specialize in UX and UI design for desktopand mobile applications and apps....
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"My experience has largely been focused on business development.  I have spent time in both the retail and mediasectors, managing strategic partnerships, building new business models and revenue streams, and leading investmentopportunities.... see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"A MULTI-SPECIALITY RESULT ORIENTED STRATEGIC SALES & BUSINESS DEVELOPMENT PROFESSIONAL WITH +35 Year’sExp....
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corporate Strategy and Business Development executive with substantial experience in the health care industry.Experience in corporate turn-around and scale up activities, including significant M&A (both buy-side and sell-side), andintegration experience.  Strategically strong, with an ability to execute, including leading and motivating cross...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Having experience in 3 Organizations with Different Work Sector, utilizing my skills such as Project Planning,Coordination, Sales Coordination, Client Development & Business Development....
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Specialized in business development, account management in video,mobile and technology industry across APAC, USand India.... see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"I have been in the computer networking and security industry in various forms since 1995, when I founded a valueadded reseller in the UK while still in University.  From programming in Modula-2, C++ and Verilog, running EnterpriseProduct Management at a Fortune 1000, driving Global Marketing for a VC-backed company in Greater Bost...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced Business Development Executive with a demonstrated history of working in the computer software industry.Skilled in Management, Customer Service, Sales, Strategic Planning, and Business Development. Strong businessdevelopment professional....
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Business Development Manager with a Business/Technical know-how work history of 7.8+ years in SoftwareDevelopment @Products/Services Industry with latest & challenging Technologies. Skilled in Value Proposition, DigitalMarketing, Client Relationship & Negotiations, Databases, Web/Mobile Applications, Product Development a...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bo currently holds the position of Vice President Strategy and Business Development at Wasserman Media Group - oneof the largest multi-national sports marketing and talent management companies in the world....
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14 years' of Experience in C-suite Sales and Account Management with expertise in Business Development , Revenuemaximisation, and Product Training....
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CREATIVE BUSINESS DEVELOPMENT PROFESSIONALAreas of Expertise: Business Development International, Sales Cycle Management, Client Servicing....
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Strategy, Startups mentoring & partnership, New Business & investments.Lead country strategy, open innovation and M&A to make the business aspirations a reality at a reputed German MNC.Incredible career transitions have helped me broaden my horizons quickly and deliver results in multicultural ...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced Business Development Manager with a demonstrated history of working in Building Industry  in theelectrical  products segment. Skilled in Sales and Marketing , negotiations , Team Management, Account Managementand  Business Development. Experience of over 18 years  with an MBA  in Marketing from University of Pune.... see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"As an experienced Healthcare Executive, I have had the privilege to lead system development and managed careproduct development initiatives within the Boston Market in a broad spectrum of settings:  BCBSMA as it made thetransition from an indemnity payer to a managed care company;building the PCHI network, a physician netw...
            see more",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanchayan brings a rich experience of close to a decade in Business & Entrepreneurship.He has the experience of setting up a Digital Enterprise along with his Business Coach & Mentor and Team of...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"I am Benson, a health and fitness coach and speaker. My passion is to help individuals and employees achieve greaterphysical and mental well-being in all aspects of their daily lives....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"My company Health & Fitness Network is the east coast authorized distributor for the Bodygem and Medgem RestingMetabolic Rate Analyzers. In addition, I am the Pennsylvania and NJ representative for FDI Medical, one of the premierdistributors for top of the line point of care testing items including the Cholestech and Cardiochek Lipid Analyzers.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Total Experience (Yoga) : 13 yearsTotal Experience (Personal Trainer & Nutritionist) : 3 Years...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Experienced Human Resources Operations with a demonstrated history of working in the staffing and recruitingindustry. Skilled in Wellness Coaching, Yoga, Fitness Training, Nutritional Counseling, and Stress Management.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"It started with a passion for fitness!At the age of 17, Manny qualified as a fitness instructor and worked in a large multinational health club. Eager to learnabout this industry he went on to university obtaining degrees in physiology and sports science from Leeds ...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"I'm the Fairy Godmother of Wellness based in Cairns.I empower people to make changes both inside & out in their lives....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Qualified Personal Trainer and Running CoachMobile and Online Training Melbourne... see more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"William Joesph Health & Fitness is my own business that I set up in January 2019. I am a Certified Level 3 PersonalTrainer and Qualified Chair-based Exercise Instructor. I use Dave Corfield Gymnasium, Shifnal and Chris Jewkes Fitness inTettenhall, Wolverhampton to train clients in a gym based environment, however mobile training is also an o...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Currently working as a Health & Fitness Specialist for Aquila. Passionate about promoting and educating a healthylifestyle. Skilled in exercise prescription, fitness evaluation, and metabolic testing. In August 2018, I received myBachelors degree in Kinesiology from the University of North Georgia.  I am currently an ACE Group Fitness In...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Qualified Personal Trainer and Running CoachMobile and Online Training Melbourne... see more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"I'm the Fairy Godmother of Wellness based in Cairns.I empower people to make changes both inside & out in their lives....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"My passion for health and fitness spans over 20 years. I have always been active and involved in multiple sports, frombaseball and football, to weight training and boxing. Even while I took on other business interests, I have alwaysremained active and health conscious.  Finally, I decided to blend my business acumen and my passion for fit...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Experienced Program Manager with a demonstrated history of working in the health wellness and fitness industry.Skilled in Wellness Coaching, Coaching, Fitness Training, Public Speaking, and Health Promotion. Strong community andsocial services professional with a Master of Science (M.S.) focused in Sports Management from Barry University.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Business Driven and Goal Oriented.  With my 17 years experience with profit building organizations. I managed to workmy way up from sales, sales manager, general manager, district/regional manager, business development manager andmanaging director in the health and fitness industry.   Main focus of my career is operation and sales....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Owner of an Exclusive Personal Training Studio and Supplement store in the heart of the City of London.... see more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Kevin brings with him over ten years of study and experience in the health and fitness industry. He is committed tocontinuously seeking any information which will assist himself and his clients in living a healthy, happy, pain-free,productive life. Kevin has learned that nutrition, lifestyle and proper exercise is the foundation necessary to a...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"I am passionate about supporting my clients to achieve their health and fitness goals.  Believing that the attainment oflong term health and fitness is very much a personal journey for each of my clients, I tailor my approach and programsto ensure my client needs are met in a holistic, real world and supportive manner....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Vision-Inspiring people to Exercise for healthy living•STAYFIT has been in the fitness industry for the last 15 years, based at Bangalore with National Presence...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Jen has been a &quot;health nut&quot; most of her life.  Not always having the time or energy to work out shediscovered her true passion for nutrition through manipulating her diet to manage her fitness even when life was toobusy to workout.  Now working in a gym for hours a day she finds no problem working out but still loves usin...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"WHAT I DO: I help busy professionals between 35-50 get healthy, lose weight and adopt a fitness lifestyle with their busyschedule by providing fitness & nutrition coaching....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"I am a “Hunter” Business Developer who excels in uncovering opportunities, building relationships, networking andclosing deals with key Brand and Agency decision-makers. On the creative front, I have exceptional  skills includingIdeation, Writing and Creative Problem Solving. Words that best describe me:  Proactive, Task Oriented, Entre...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"YouTube Channel: https://www.youtube.com/channel/UChiLiNzmkrasbAXshI-lBGQI am a competent and highly enthusiastic health, fitness and nutrition professional. Being athletic with a big i...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Experienced Fitness Professional with a demonstrated history of working in the health wellness and fitness industry.Skilled in Research, Event Planning, Customer Service, Fitness, and Public Speaking. Strong community and socialservices professional with a Bachelor’s Degree focused in Dietetics/Dietitian from University of Tennessee, Knoxville.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Motivational manager & Personal Trainer who leads by example with over 11 years experience of leading a team ofhealth & fitness professionals in a first class private health club. Graduated from the University of Chichester with a BScin Sports Coaching Science and have continued personal development with the UK Strength & Conditioning ...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Experienced Marketing Manager with a demonstrated history of success in various manufacturing industries. Strongmarketing professional skilled in Leadership, Critical Thinking, Project Management, Event Planning, and MarketResearch.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Elena Grace is an Australian level one boxing coach and CEO of Vivre Health & Fitness. Operating from Australian Boxing& Fitness Academy in Ravenhall from this September....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Owner of TeamMTD U.K. and founder of MTD Health & Fitness Club.Successful Personal Trainer & Wellbeing coach working with corporate and private clients....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Looking for someone to back me with a brilliant project I have in mind which will be something totally different to offerpeople with promoting a healthy life change... see more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"IHFE is an international Indian based health &  fitness education academy. The academy provides a variety of online andlive health and fitness certification and continuing education program for physiotherapist, fitness professionals, fitnessenthusiasts and any allied healthcare professionals....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Providing innovative fitness products in North and South Carolina where I spend my time building, renewing, andmanaging strong relationships with fitness professionals. I offer a consultative and strategic approach offering productsand services that will brand and help build our partners businesses. I bring more than 8 years of fitness indus...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CEO at Tropicana Health & Fitness Ltd - The UK's Leading Sports Nutrition Distributor.Established in 1980, Tropicana Health & Fitness Ltd has become the distributor of choice to the largest Gyms,...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"With  18 years experience in the Health & Fitness industry in both public and private sectors. Starting off working as avolunteer, then progressing through the ranks of Fitness Instructor, Group Exercise Coach, Tutor and finally AreaManager....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
